Current Area and City of Residence? ,A brief about you and your interests? ,Which of the following will best describe your current profession? ,Your startup/expertise lies in which of the following industries? (Try to be as specific as possible),What is your domain of expertise? (Try to be as specific as possible),Stage of your startup/Employer? ,Any specific connect you are currently seeking? ,Why are you seeking the above mentioned Connect? ,How do you think you can help other pushstarters? 
Lucknow,I am a filmmaker and Entrepreneur who is working to tackle information overload and make people more valuable than machines.,Startup Founder (Service-based),"Ed Tech, VR/AR, AI/ML, Media and Advertising, Digital Marketing/Branding, Media, Art","Product Design, Digital Marketing, Product Design, Branding, Content Marketing",Ideation (brainstorming around few ideas),,I need guidance to develop and launch my application,"I am a professional filmmaker,animator and viral video creator.I can be useful to consult and get contacts especially for viral video campaigns and advertisements."
Mumbai,"Loves to travel, watch interesting video content and spend time with family and friends ",Startup Founder (Service-based),Media and Advertising,"Project Management, Business Development, Branding, Content Creation, Content Marketing",Early Traction,,"Looking to network with brands who are looking for audience engagement solutions. Also, looking to learn how to build and scale
Up my company ",We can provide solutions to enhance brand presence on media 
Gurgaon,A social activist and a wedding blogger.Would love to connect with like minded people and stay updated about upcoming events.,"Startup Founder(Product-based), Startup Founder (Service-based)","Consumer internet, Fashion, Entertainment, Media, Event Management","Operations, Product Design, Product Design, Event Management",Early Traction,,Angel investors,Guide them through the process 
Gurgaon,"Professionally working as Growth Hacker (Growth Lead) of OnlineTyari. 
I love to help businesses and entrepreneurs learn growth hacking by helping them in growth.
Currently I am experimenting on YouTube for improve word of mouth.
Also, I am fond of reading books, especially motivational, biography books.
*In free time, I write poems and listen Sufi music.",Working Professional,Ed Tech,"Sales, Digital Marketing, Partnerships, Branding","Growth (multiple customer, positive revenue, making profits)",,Pushstarter is already helping me with lots of knowledge via AMA sessions and will ask in the group itself if I need any help,"I am always available to help in marketing, customer success, growth hacking, ed-tech sales sector, digital marketing."
Mumbai,"Sneha Tipnis from Subhashik, Your Creative and Language Solutions Partner
Specialization - Translation (Legal & Non-legal), Content Writing, Designing 

My bio - working as BDE and taking care of PR, Marketing for our family business - Subhashik. We help you to communicate through written content on website, blogs, social media, digital profiles, brochures, CVs/ Resume, taglines/ captions and much more. Plus, we translate all types of Legal Documents (Marathi to English and back) right from Petitions to Power of Attorney and much more!",Business Development Executive (Established Family Business),Language Translation and Content Writing,"Content Creation, Legal",Established Service Enterprise,,Spreading word about our service,By Creating Content Awareness
North Delhi,"A Computer Science Engineer by accident turned Entrepreneur. Passionate about reviving the old-school pedagogy to meet innovative transformation in the learning space. Enthusiastic about foraying in various enterprising business venture avenues and build an empire, and be a part of a sustainable and responsible community of Millenials!","Under-Graduate Student, Post-Graduate Student, Startup Founder(Product-based), Startup Founder (Service-based), Working Professional, Mentor, VC, Freelancer","Agri Tech, Health Tech, Ed Tech, Blockchain, AI/ML, Media and Advertising, Co-working Business, Travel, Digital Marketing/Branding, Web Development, E-commerce, Design, Consumer internet, Fashion, Saas, Cybersecurity, Entertainment, Media, IOT, Hospitality, Retail, Clean Tech, Robotics, Social Entrepreneurship, Event Management, Art","Operations, Sales, Product Development, Product Design, Digital Marketing, Community building, Product Design, Project Management, Product Management, Program Management, Research and Development, Partnerships, Business Development, Front-end Designing, Front-end Development, Back-end Development, Event Management, Branding, Tax and Compliance, Consulting, Content Creation, Data Analysis, AI, ML, Blockchain, Finance, AR, VR, HR, Content Marketing, Business Analysis, Design, Fundraising, Data Science, Customer Success, Legal",Looking to collaborate with like minded investors and organizations like UNICEF and Khan Academy,,"Need to find a co-founding team of CEO mentality entrepreneurs and stake holders who will invest and co-work towards a sustainable and better, happier future. ","With my experience, expertise and elite network I've been able to develop so far I look forward to being a contributing member of this fraternity."
South Delhi,"Founder, www.zenius.me; 
Interested in edtech.",Startup Founder(Product-based),Ed Tech,"Product Development, Product Design, Product Design, Front-end Development, Back-end Development",Early Traction,,Hiring.,I can help in tech related issues.
South Delhi,"I'm pursuing BBA from Ansal University and class 11th only I decided to be an entrepreneur and have my own startup. As per my interest I did front end web designing , theatre, interested in Tech stuff and marketing strategies .",Under-Graduate Student,"Digital Marketing/Branding, Web Development, Consumer internet, Cybersecurity, IOT, Social Entrepreneurship, Event Management, Art","Digital Marketing, Community building, Project Management, Research and Development, Front-end Designing",Ideation (brainstorming around few ideas),,Mentorship and idea stage fund or seed stage ,I can give my good vibes and share my ideas that is network as much as I can. 
Agra,"I am working on my own startup (DCLG) through which we are targeting teenagers and help them pursue their dreams.   I am into community building, I like to meet people from diverse cultures and I generally enjoy helping teens . ","Startup Founder (Service-based), Mentor, Freelancer","Ed Tech, Social Entrepreneurship, Event Management","Operations, Community building, Partnerships, Event Management, Consulting",MVP (proof of concept is out with select customers),,"Yes, It will be through Push launch as I will be launching my startup (DCLG). I am looking for connections with Executives from Large organizations for Social Starters(A Social Entrepreneurial Organization(London based) I represent in India.  I am also thinking about some collaborations between Pushstart and Makesense or Social Starters to help social entrepreneurs if we can work it out.","I am part of many organizations like Makesense(Paris Based), Social Starters (London), Arlixmeet (Teen entrepreneurship Conference ) and Nexel( India). I can connect push starters with relevant people there and if They are into the same domain as I am we can collaborate. Basically, I lead these organizations in India and Agra region so It can be beneficial for both parties. 

I also mentor high school entrepreneurs through LaunchX( MIT)."
Gurgaon,"I am an alumnus of ISB Hyderabad. I come with 6+ years of corporate experience, working with premium brands like Axis Bank as a senior manager and Evalueserve as senior analyst. I have founded a new venture named Thinking Spree which aims bring together brilliant minds to solve live business problems.",Startup Founder (Service-based),Management Consulting,"Community building, Consulting, Business Analysis",MVP (proof of concept is out with select customers),,"I would like the push starters to help me in sharing their expertise as panelists in my session. Also, help me spread the word about my product. ",I am willing to introduce/connect the push starters with people in my network to help them grow. They can leverage my network of senior corporate employees.
Jaipur,I am a digital marketing consultant and I am currently working on SaaS products marketing ideation.,"Working Professional, Freelancer","Media and Advertising, Digital Marketing/Branding, Web Development, E-commerce, Design, Saas","Digital Marketing, Content Marketing, Business Analysis",Product (Have a fully-functional Product),,"Keep sharing updates regarding products, startups news, requirements for any specific service, and regular conversations that keep going on currently. ","1. Whenever I have any requirement for any specific work, Pushstarters remains my first preference in looking for support. So, hopefully Pushstarters keeps helping me in my requirements and I keep sharing my requirements with the Pushstarters."
Gurgaon,"Technology, entrepreneurship",Startup Founder(Product-based),"AI/ML, Consumer internet","Product Management, Back-end Development, AI",Early Traction,,Networking ,Tech
Gurgaon,"I'm a student entrepreneur interested in marketing technology, consumer psychology and look at startups as means to change lives.","Under-Graduate Student, Startup Founder(Product-based)","Food Tech, Digital Marketing/Branding, Saas","Digital Marketing, Product Management, Partnerships, Business Development",Early Traction,,Connections,"Insights about chatbots, food tech, artist hiring marketplaces "
Gurgaon,"I am Kartavya-Happiness Specialist and a founding member of simplifit.in 
We are employee happiness service providers . We cater to wellness, fitness and health at workplace. Sport events, outbounds, team building activities, corporate gifting and much more . We have been associated to  120+ corporates including names from big 4, HUL ,Adobe as few of our clients.
Our motive :  Together Let's make workplace a happy place.",Startup Founder(Product-based),"Travel, Entertainment, Event Management, Art","Operations, Program Management, Data Science","Growth (multiple customer, positive revenue, making profits)",,"Connections with companies, launching some more corporate specific products.",We are into engagement domain. I don't think any pushstarter wouldn't need it for thier people even if strength is less than 10.
Gurgaon,I am running my own startup with name startuplab. I am very active in startup ecosystem since 3 years. Working towards solving real problems startups are facing and giving value addition to them. ,Startup Founder (Service-based),It's a one stop shop for startups ,"Partnerships, Event Management, Tax and Compliance, Consulting, Legal",Ideation (brainstorming around few ideas),,Exploring synergies on how can we together make use of our networks and add value to startup ecosystem,"I can offer free startup consultancy in terms of legal ,accounting ,IPR ND related stuff"
Firozabad ,"An entrepreneur with travelling heart, currently disrupting Glass Manufacturing sector in India.",Startup Founder(Product-based),Glass Manufacturing ,"Operations, Sales, Project Management, Product Management","Growth (multiple customer, positive revenue, making profits)",,Connections,With Expertise in Manufacturing sectors.
West Delhi,Currently working on mobile communication product to revolutionize the way people make and receive phone calls by offering unique tech solution. Believe in making simple solutions to help transform lives and make life easier for masses.,Startup Founder(Product-based),Mobile Communication Application,"Operations, Sales, Digital Marketing, Branding, Consulting, Content Creation, Data Analysis, Content Marketing, Business Analysis",Early Traction,,We want to promote our world's first of its kind mobile calling app and looking forward to get support from pushstarters in promoting our app by getting critical feedback on app performance and also to experience the power of network effect by leveraging pushstarter community which is very dynamic and supporting in nature.,"I believe in go-giving and here, I would be more than happy to help to our all fellow entrepreneurs without any further expectations in return as interactions with fellow entrepreneurs will help me to learn and grow in my journey. "
East Delhi,I'm social Entrepreneur.. I'm doing something different.. when I help to someone then I feel happy that's my interest.,Startup Founder (Service-based),Social Entrepreneurship,HR,MVP (proof of concept is out with select customers),,I'm planning to excuit  our business.   I'm need your support for increase more specifications.,Yes
North Delhi,"Product, design, UI UX, Block chain, AI.
I help startups succeed with design and technology
","Startup Founder(Product-based), Startup Founder (Service-based), Freelancer","Health Tech, Ed Tech, Blockchain, AI/ML, Web Development, Design, Consumer internet, Saas, Clean Tech, Social Entrepreneurship, Art","Product Development, Product Design, Product Design, Product Management, Front-end Designing, Front-end Development, Back-end Development, Branding, ML, Blockchain, Design",Early Traction,,Trivial help,"Design, tech, product ideation and validation"
West Delhi,"Marketing, Customer Success, Analytics",Working Professional,"AI/ML, Cloud Computing","Digital Marketing, Product Management, Content Creation, Content Marketing, Customer Success","Growth (multiple customer, positive revenue, making profits)",,"Mentorships, Partnerships and Consulting",I can help Pushstarters with building scalable infrastructure for their apps and achieve customer success specifically for SaaS products. Digital marketing is something I have done for a long time but its not really something that difficult either
Noida,I am a fresher graduated this year in electronics and communication engineering. Right now working as an associate in research and development of a core electronics company. My interest is all in making connections learning from people and Sharing and developing ideas to another level. ,Working Professional,"Travel, Web Development, IOT","Product Development, Product Design, Product Design, Research and Development, Front-end Designing, Front-end Development, Data Science",Don't have a startup,,"Networking, ideas building and good professional opportunities.","Being a fresher, I can help them out with power quality related problems, electronics and electrical related queries, IoT related problems, travel photography etc."
Gurgaon,I am currently working as Product Manager cum core team member in a healthcare startup Nirogstreet. Previous i had started two startup PaniMango and FoodonPing but they failed but give me lot of experience of starting up. I am looking forward to connect with like minded people and build my network.,"Under-Graduate Student, Working Professional",Health Tech,"Product Development, Product Management, Data Science",Don't have a startup,,"yes, i am looking forward to connect with like minded people.",Pushstart is a great platform and i had learned a lot frok fellow pushstarters.
Gurgaon,"Travel , Adventures, Fitness",Startup Founder(Product-based),"Travel, E-commerce, Consumer internet, Entertainment, Hospitality, Event Management","Operations, Digital Marketing, Community building, Project Management, Partnerships, Business Development, Event Management","Growth (multiple customer, positive revenue, making profits)",,B2B partnership and Fundraising,"Through Network , Discounts for pushstarters for any travel and adventure needs"
Mumbai,"Film production, information technology ","Startup Founder (Service-based), Working Professional","Media and Advertising, Co-working Business, Digital Marketing/Branding, Web Development, Design, Entertainment, Media","Digital Marketing, Branding, Business Analysis",Ideation (brainstorming around few ideas),,"No idea about pushstart, I am new",No idea
Mumbai,"
I am 21 years old from Mumbai and I started ' The Startup Tales' all out of my passion.
I'm also pursuing Chartered Accountancy and gave my Final exams this November. I interview entrepreneurs either through email or through call based on their suitability. 
Links of my page-https://www.facebook.com/thestartuptales/
Instagram-thestartuptales
I am voracious reader","Post-Graduate Student, Startup Founder (Service-based), I am basically pursuing CA and along with it a Facebook and an Instagram page wherein I feature Entrepreneurs.","Media and Advertising, Media","Digital Marketing, Branding, Tax and Compliance",Early Traction,,Looking for Entrepreneurs for getting featured in my page and also getting some brainstorming ideas ,By featuring them on my page.
Kurukshetra/Mumbai,"Im a second year engg student at NIT Kurukshetra. A frustrated engineer, my true passion is entrepreneurship. New ideas and the startup ecosystem fascinates me. Im have a knack for marketing, strategy and analytics. 

Im currently working on an idea with a friend from Mumbai in Ed-Tech domain. We are in the idea validation stage at the moment. ",Under-Graduate Student,Ed Tech,"Research and Development, Business Development, Data Analysis",Ideation (brainstorming around few ideas),,"-Mentors, Investors who are into the Ed-Tech domain.

-Legal aspects

- Financial aspects

-Idea Validation and a direction to move further","- Im a college student, so if any fellow pushstarter need anything done from the college level i can be of help. I network well, and have connects with e-cells and students of other top colleges pan-india

- im also looking for internship opportunities, so its a win-win.

- I am eager to be part of the PushMeets. I have already attended 1 at mumbai. I like giving my ideas and inputs to fellow pushstarters. "
Ghaziabad,"Founder of Graduate ka Thela , Interested in F&B Industry",Startup Founder (Service-based),"Food Tech, Hospitality","Sales, Branding, Design, Customer Success",Early Traction,,New opportunities in F&B Industry,Yes in F&B Industry to scale up.
Chandigarh,"We are a SaaS Company specialising in Shipping and HR domains. We have built SaaS applications and continuously build more products. Our interests are B2B, B2C businesses and a lot to do with Technology and networking.",Startup Founder(Product-based),"Ed Tech, AI/ML, Saas","Operations, Sales, Product Development, Product Design, Product Design, Product Management, Research and Development, Content Creation, AI, ML, HR",Early Traction,,Technological and Networking,"Technology sharing, domain expertise of Shipping and HR, links within Chandigarh community."
Noida,I am a techpreneur. I work with various traditional business and SMEs to digitize them in an efficient and effective manner that can impact their business process directly. ,"Startup Founder(Product-based), Working Professional, Mentor, Freelancer","Fin Tech, Web Development, Retail","Product Development, Project Management, Product Management, Back-end Development, Finance",MVP (proof of concept is out with select customers),,Corporate Connections,I can help in tech based Product Development
Bangalore,"I'm a lawyer by qualification, worked in the UK, Canada,  Bermuda, Us before relocating to India in 2916. I am in the process of starting up a head hunting practice in Bangalore.  ",Startup Founder (Service-based),HR,"Business Development, Branding, HR, Legal",MVP (proof of concept is out with select customers),,"Lead generation, networking","Hiring and staffing,  legal contracts, business development "
Punjab,"Entrepreneurshio, Venture Capital",Under-Graduate Student,No startup yet,"Operations, Partnerships, Business Development, Event Management, Consulting, Business Analysis",Don't have a startup,,Network,Knowledge and Network
Gwalior,IT services,"Startup Founder(Product-based), Startup Founder (Service-based)","Digital Marketing/Branding, Web Development, E-commerce, Design, Saas","Product Development, Digital Marketing, Product Management, Program Management, Front-end Designing, Front-end Development, Back-end Development","Growth (multiple customer, positive revenue, making profits)",,Business Development and Funding Help,"Sharing the business requirement , KNowledge exchange, Share Opportunities, B2B Business"
Lucknow,"I'm simple, curious and hard working guy. I'm good in operation management, business development, growth hacking and graphics designing.",Working Professional,Ed Tech,"Operations, Sales, Digital Marketing, Research and Development, Business Development, Front-end Designing, Front-end Development, Data Analysis, Business Analysis",Don't have a startup,,No,I try to share my experience with pushstarts.
North Delhi,"A young 21-year-old gender sensitive being who believes in building a gender harmonious world. She has been working with Even Cargo, India’s first and only women E-commerce Logistics Delivery company working towards building an inclusive future with equal opportunities of livelihood for all. She looks after training and development and has been doing on ground work with females of resource poor communities. Her interests lie in understanding their challenges and developing leadership and growth oriented flexible modules and processes for these females. She strongly believes that women by her very own being only is the most powerful existing individual on this planet. Woman is a human and hence should have an equal access to all human rights. Ownership of her body, soul and thought is required to be built to allow her to lead her own way. Sensitization and awareness is one of the most important tool that can help them realize and recognize their latent potential and power. She looks towards building a future where Equality will not be seen as opportunity rather a right to access. She is growing every day through her actions leading to learnings of progressing towards sustainable equal development of all.","Startup Founder (Service-based), Working Professional","Social Entrepreneurship, Women Driven","Community building, Project Management, Program Management, Business Development, Gender","Growth (multiple customer, positive revenue, making profits)",,To connect with investors and other women leaders,Women Leadership and social entrepreneurship
North Delhi,"I am a Product Designer, having my own Product Design Firm. I am interesting in Hardware Product Development.","Startup Founder(Product-based), Startup Founder (Service-based)","Design, IOT, Clean Tech, Robotics","Product Development, Product Design, Product Design, Product Management, Research and Development, Business Development",Early Traction,,Network,Product design Services
South Delhi,Currently working in an edtech growing startup named Avishkaar as a Channel Development Executive. Loves to grow network with like minded people and trying to bring innovation in Education sector and spreading knowledge about the technology and current trends in  the Education sector.,Working Professional,"Ed Tech, AI/ML, IOT, Robotics, Event Management","Sales, Business Development, Event Management",Don't have a startup,,"More insight knowledge regarding B2B industry, lead generation etc.",Anyone who is looking for some business opportunity in any part of country i have the good revenue generation business for them.
Western Mumbai,"Reading, podcasts, community building",Team member @ Coworking space,Co-working Business,"Community building, Partnerships, Event Management, Content Creation","Growth (multiple customer, positive revenue, making profits)","Mentor, Startups, Job Opportunities, Job Seekers, General Networking",To help sister communities and foster connections,"Can help with connects with our community, referrals and help learn how to build communities"
surat,"Heading a technology startup with operations across the globe (including India, USA, UK, Europe, UAE, Oman, etc.) serving latest technologies like blockchain, Machine learning, business intelligence tools, IOT, etc..",Freelancer,Web Development,"Project Management, Business Development",partnership firm,"Financial Expert, Tech Expert, Startups, Job Seekers, BD Guy",to grow business, By giving software services
Central Mumbai,I have a NBFC firm.My interests are books,Startup Founder (Service-based),Fin Tech,"Sales, Finance, Fundraising","Growth (multiple customer, positive revenue, making profits)","Mentor, Financial Expert, Startups, BD Guy",Because we want our firm to grow. Also my dad has intrests in Private Equity.We would also like to invest in some good startups which are plenty in the Pushstart group.,"As dicussed above,we can provide some funding to some growing and good startups.Also mentoring other startups as we have raised some funds ourselves."
MG Road,"I am 21 year old. I have deep interest in Cybersecurity , Ethical Hacking and Entrepreneurship. I have always wanted to be financially independent at a young age. Since last two years, I have been doing a number of side hustles to be able to pay my own fees, rent etc and not depend on my parents.
During these hustles, I met many amazing people and worked a vast variety of jobs. From coding Jobs to event management to graphic designing to photography to app development etc.
I believe life is all about the experiences we had. So, I wanna connect with this group and get more opportunities, get more experiences, which will help me embrace  my Entrepreneurial journey.","Under-Graduate Student, Freelancer",Cybersecurity,"Operations, Research and Development, Business Development, Event Management, Content Creation, Content Marketing",Ideation (brainstorming around few ideas),"Mentor, Digital Marketing Expert, Startups, Job Opportunities","I want to connect with these people, exchange ideas, see their workflows and learn from them. I consider myself a hard worker. With proper connections/guidance, I will be able to have a more productive approach towards my startup .","I bring a vast variety of skills to the table - Content Creator/Digital Marketer/App developer/WebDev/Cybersecurity etc. 
I can help others by working with them, providing them my services. 
I am also am avid reader and travel a lot. Will postbregulary and share these amazing experiences with fellow Pushstarters."
Western Mumbai,Community Builder at 91springboard,Team member @ Coworking space,Co-working Business,"Community building, Customer Success","Growth (multiple customer, positive revenue, making profits)","Startups, General Networking",to help coworkers working at 91springboard,Connect pushstart members with fellow coworkers working at 91springboard
Whitefield,Entrepreneurship ,Working Professional,Ed Tech,"Product Development, Product Design, Front-end Development, Back-end Development, Blockchain, Data Science",Ideation (brainstorming around few ideas),"Mentor, Investor, Product Expert",To build the product ,"Tech, marketing, design "
Pune,"I am Shweta A Nair, have been into content and social media marketing before co founding our venture News Shuttle",Startup Founder(Product-based),Social Entrepreneurship,"Content Creation, HR",Early Traction,"Sales Expert, Tech Expert, Growth Expert, General Networking",To bring about a shift in the current status of my startup,"Network, Content, Socialmedia work, counselling and helping the ones in ideation statge"
Navi Mumbai,"I am a Community Operations Manager at 91springboard, Turbhe. As my job role goes, we try to make lives of our members easier. This also happens to be one of my interests, helping the startups and entrepreneurs in the best way possible.",Team member @ Coworking space,Co-working Business,"Operations, Community building, Partnerships, Event Management",Don't have a startup,"Nothing in particular, Would want to put out requests as and when needed for our members",NA,By helping them with connects if possible
Nagpur,Home maker turned first time entrepreneur with Go For Chai. Currently operating from three cities. ,Startup Founder (Service-based),Food Tech,"Sales, Product Management, Business Development, Branding","Growth (multiple customer, positive revenue, making profits)","Mentor, Investor, Digital Marketing Expert, Product Expert, Startups, BD Guy, Clients/Customers, General Networking",Co- Creation,Collaborations and mutual growth
Central Mumbai,"Started my career as business analyst at GAP inc. And then, my entrepreneurial journey started with PSTakeCare. In my 3 years of experience at PSTakeCare, going from 6 to 100+ no of employees, I have seen many stages of a startup and worked almost in all major department such as operations, business development and marketing. 
Lately, devoted majority of my time and effort in heading business development where in we took our presence from 1 locality in Mumbai to 20+ cities in India.
Presently, trying to build something meaningful for women of Indian Vernacular section.
",Startup Founder(Product-based),Consumer internet,"Operations, Sales, Project Management, Partnerships, Business Development, Business Analysis, Fundraising, Legal",Early Traction,"Job Seekers, Growth Expert, UI/UX Designer and a female co-founder ",Ream building,Guidance in the areas where I have knowledge
Thane,"India's 1st Internationally Certified Financial Success Coach with CFP and MBA in Finance. I love educating people and helping them achieve their Financial dreams. 
I conduct Financial Super Success workshops across India and also conduct trainings for corporates",Startup Founder (Service-based),Fin Tech,Consulting,"Growth (multiple customer, positive revenue, making profits)","Nothing in particular, General Networking",...,"Can help them with effective money management. Already training employees of Companies like Times of India, Raymond, etc."
Pune,"I am a marketing consultant and corporate film maker, exploring new tech, IOT and AR/VR","Startup Founder (Service-based), Working Professional, Mentor, Freelancer",Media and Advertising,"Sales, Product Design, Community building, Project Management, Product Management, Event Management, Branding, AR, VR, Content Marketing, Design","Growth (multiple customer, positive revenue, making profits)","Nothing in particular, General Networking",To get domain insights,"Consultation, connections"
Western Mumbai,I run an enterprise software development company called Bit Brothers and working on document processing software called documint.ai. I also run an entrepreneur community of 82k+ members called Startup Mumbai.,"Startup Founder(Product-based), Startup Founder (Service-based)",AI/ML,"Product Development, Product Management, Research and Development, AI, ML, Design, Data Science",Early Traction,General Networking,Basic networking for potential future employee ,"AI/ML, Networking, B2B contacts"
Pune,Startup,Startup Founder (Service-based),Saas,"Sales, Business Development",Ideation (brainstorming around few ideas),"Digital Marketing Expert, Startups, Legal Expert, Job Seekers, Taxation and Compliances Expert, Clients/Customers, General Networking",To grow,As best as could
Pune,Young entrepreneur looking for new ventures ,Startup Founder(Product-based),Hospitality ,"Operations, Sales, Business Development, Finance","Sold one company, on to another","Investor, Startups, Job Seekers, Growth Expert, Clients/Customers, General Networking",Getting connected with different businesses ,Can spread a word across various sources 
"London, UK","Hi,

Here's a brief summary of my profile - 

I have around five years of experience working in digital marketing and social media marketing, I have worked on both the agency and client side and have collaborated with multiple national/international advertising agencies. I have also worked very closely with teams at Facebook, Twitter, and Google to build digital strategies for my brands. I have won several national awards for my work and I have also been a speaker at many digital marketing summits. My expertise is social media strategy, content strategy, content marketing, planning and executing engagement activities and campaigns on digital platforms, digital planning and budgeting.

Cheers!",Startup Founder(Product-based),Digital Marketing/Branding,"Digital Marketing, Branding, Content Creation, Content Marketing, Design",MVP (proof of concept is out with select customers),Mentor,Mentor,With social/digital related expertise
South Bombay,Computer engineering student interested in trading / investing & startups.,Under-Graduate Student,Media and Advertising,Business Development,Don't have a startup,"Mentor, Investor, Accelerator Connect",Looking for a startup..,As I can see the way Pushstarters are working I really think it will help me to raise my contacts and many other factors as well. :) 
Western Mumbai,"Founder @UnFound, Ex- Product Manager @ TaxiForSure, BookMyShow, IDfy, MBA from ISB, Hyderabad","Post-Graduate Student, Startup Founder(Product-based)",Consumer internet,"Operations, Product Management, Customer Success",Early Traction,"Investor, Legal Expert",-,Through my skills mentioned and some connects.
Western Mumbai,"Working on India's 1st coworking kitchen spaces , 10+ years experience in hospitality  worked with Hilton, intercontinental,select group & TinyOwl ",Startup Founder (Service-based),Food/hospitality/coworking ,Partnerships,"Growth (multiple customer, positive revenue, making profits)","Investor, Digital Marketing Expert, Tech Expert, Taxation and Compliances Expert, Growth Expert, Nothing in particular",Helps my business,Community bldg
Central Mumbai,B2C applications,"Post-Graduate Student, Startup Founder(Product-based)",Consumer internet,"Digital Marketing, Product Management, Content Marketing",MVP (proof of concept is out with select customers),"Investor, Digital Marketing Expert, Accelerator Connect, Growth Expert, Clients/Customers",To grow and refine the product,Connect with relevant people and showcase product to get feedback
Western Mumbai,"Education, Writing",Startup Founder (Service-based),Ed Tech,Operations,MVP (proof of concept is out with select customers),"Investor, Sales Expert, Incubator Connect",For scaling the services we provide ,"Workshops,  events, tie ups, barters"
Central Mumbai,I help entrepreneurs to double their income and enjoy spectacular life ,Mentor,Business development ,Business Development,Coaching and consulting ,"Digital Marketing Expert, BD Guy, General Networking",Will be helpful for my business ,"I can connect people and give them resources for what they are looking for. Also, help them to grow their Startups "
Central Mumbai,Entrepreneur exploring the area of Sanitation - Wastewater treatment ,Startup Founder(Product-based),Social Entrepreneurship,"Operations, Sales, Project Management, Product Management, Program Management, Research and Development, Partnerships, Business Development, Business Analysis",Ideation (brainstorming around few ideas),"Mentor, Investor, Product Expert, Incubator Connect, Accelerator Connect, Someone who can build engineering products ",I am looking for a co-founder who has passion in social entrepreneurship and who can develop and build engineering products. I am also looking for funding/grants to develop prototype ,"Connection in the area of oil and gas/sanitation, advice/insight on b-school admissions"
Western Mumbai,"An entertainer and beatboxer with an amateur work background in the E-learning and event industry. 
Strong professional with a BTech in Electrical Engineering. 
Interested in being a part of community building startups and meeting new people. ",Under-Graduate Student,Event Management,"Operations, Event Management","Growth (multiple customer, positive revenue, making profits)","Mentor, Digital Marketing Expert, Job Opportunities, Job Seekers, General Networking","Just graduated out of college, looking to learn from and network with industry experts and startup enthusiasts. ",In any way that I can!
Western Mumbai,Getting into handcrafted products,Working Professional,Fashion,Product Design,Ideation (brainstorming around few ideas),"Investor, Financial Expert, Clients/Customers, General Networking",Yo Facilitate the idea as a business,Creative Ideation and Futuristic Approach
Western Mumbai,"Social Activist
Founder of Ashay Social Group, NGO, Registered in Oct 2015.
Working for the Care of Environment on two major projects.
#Avoid Plastic Carry bags and Use Cloth bags
#Promotion of Hygienical, Healthy Sustainable Menstruations option like Menstrual Cup and Cloth pads.
For the better future of our next Generations.",Mentor,NA,Partnerships,Don't have a startup,General Networking,To help in spreading awareness and Promotion of my product.,In helping with connectivity
Pune,"Hi, Worked in Embedded Industry and Process Automation industry for quite some time. Experience in Process Automation Systems for Large corporate like Oil n Gas, Pharma & Chemical. 
Keen interest in Finance and Programming. Like to read about behavioral analysis in general and technical models.","Startup Founder(Product-based), Startup Founder (Service-based), Working Professional",Media and Advertising,"Operations, Product Development, Research and Development, Partnerships, Business Development, Business Analysis",MVP (proof of concept is out with select customers),"Mentor, Sales Expert, Tech Expert, Legal Expert, Incubator Connect, Accelerator Connect, General Networking","Building digital taxi top - requires experts in infrastructure and back-end processing. 
Incubator and Accelerator - for connections ","Behavioral analysis tend to be helpful when considering sales and product pricing. Used to manage, Clear risk projects for corporations in UK & USA, so plenty of experience in Client & Project management. "
Western Mumbai,"Business, innovation, coaching, adventure sports, travel","Startup Founder(Product-based), Startup Founder (Service-based), Angel Investor, Mentor","Have multiple business: education, edtech, staffing, lifestyle, f&b","Sales, Product Development, Product Management, Research and Development, Partnerships, Business Development, Branding, HR",Public Company,"Investor, Startups, Growth Expert, General Networking",To grow my portfolio ,By having monthly themes
Indiranagar,"BITS Pilani graduate, interested in PM roles","Working Professional, Team member @ E-cell",Consumer internet,Product Management,"Growth (multiple customer, positive revenue, making profits)","Nothing in particular, General Networking",To get help when in need,Through resources and personal connects
Western Mumbai,"Interested in Digital Marketing,  Mobile Application development,  Web designing and Development. ",Startup Founder (Service-based),Digital Marketing/Branding,"Product Development, Product Design, Digital Marketing, Project Management, Product Management, Business Development, Front-end Designing, Front-end Development, Back-end Development, Branding, Consulting, Content Creation, Content Marketing, Design","Growth (multiple customer, positive revenue, making profits)",General Networking,For business development and networking,We can offer services at good price and quality for all pushstarters. 
vadodara,"student, critical thinker, investments",Under-Graduate Student,no startup,no domain,Don't have a startup,"Mentor, Legal Expert, Taxation and Compliances Expert","as am I student , I am seeking for  the knowledge of expertise and  connection with expertise to build a professionalism",with the intellectuality about taxation costing and financial problems 
Western Mumbai,Have e-com platform to Selling & Buying antique & vintage collectable items.,Working Professional,E-commerce,"Operations, Consulting",Early Traction,"Digital Marketing Expert, Job Seekers",Want to promote my platform and grow my team,Will to glad to share my commercial and ginancial acumen.
