,About your interest,Briefs and Interests,Stage of your startup/Employer?,Specific Connect,Reason for specific connect,Helping for others,area,city,expertise0,expertise1,expertise2,expertise3,expertise4,startup1,startup2,startup3,startup4,startup5,startup6,startup7,startup8,startup9
472,i am an alumnus of isb hyderabad i come with 6 years of corporate experience working with premium brands like axis bank as a senior manager and evalueserve as senior analyst i have founded a new venture named thinking spree which aims bring together brilliant minds to solve live business problems,Startup Founder (Service-based),MVP (proof of concept is out with select customers),,"I would like the push starters to help me in sharing their expertise as panelists in my session. Also, help me spread the word about my product. ",I am willing to introduce/connect the push starters with people in my network to help them grow. They can leverage my network of senior corporate employees.,Gurgaon,,Community building, Consulting, Business Analysis,,,Management Consulting,,,,,,,,
473,i am a digital marketing consultant and i am currently working on saas products marketing ideation,"Working Professional, Freelancer",Product (Have a fully-functional Product),,"Keep sharing updates regarding products, startups news, requirements for any specific service, and regular conversations that keep going on currently. ","1. Whenever I have any requirement for any specific work, Pushstarters remains my first preference in looking for support. So, hopefully Pushstarters keeps helping me in my requirements and I keep sharing my requirements with the Pushstarters.",Jaipur,,Digital Marketing, Content Marketing, Business Analysis,,,Media and Advertising, Digital Marketing/Branding, Web Development, E-commerce, Design, Saas,,,
474,technology entrepreneurship,Startup Founder(Product-based),Early Traction,,Networking ,Tech,Gurgaon,,Product Management, Back-end Development, AI,,,AI/ML, Consumer internet,,,,,,,
475,im a student entrepreneur interested in marketing technology consumer psychology and look at startups as means to change lives,"Under-Graduate Student, Startup Founder(Product-based)",Early Traction,,Connections,"Insights about chatbots, food tech, artist hiring marketplaces ",Gurgaon,,Digital Marketing, Product Management, Partnerships, Business Development,,Food Tech, Digital Marketing/Branding, Saas,,,,,,
476,i am kartavyahappiness specialist and a founding member of simplifitin we are employee happiness service providers  we cater to wellness fitness and health at workplace sport events outbounds team building activities corporate gifting and much more  we have been associated to 120 corporates including names from big 4 hul adobe as few of our clients our motive  together lets make workplace a happy place,Startup Founder(Product-based),"Growth (multiple customer, positive revenue, making profits)",,"Connections with companies, launching some more corporate specific products.",We are into engagement domain. I don't think any pushstarter wouldn't need it for thier people even if strength is less than 10.,Gurgaon,,Operations, Program Management, Data Science,,,Travel, Entertainment, Event Management, Art,,,,,
477,i am running my own startup with name startuplab i am very active in startup ecosystem since 3 years working towards solving real problems startups are facing and giving value addition to them,Startup Founder (Service-based),Ideation (brainstorming around few ideas),,Exploring synergies on how can we together make use of our networks and add value to startup ecosystem,"I can offer free startup consultancy in terms of legal ,accounting ,IPR ND related stuff",Gurgaon,,Partnerships, Event Management, Tax and Compliance, Consulting, Legal,It's a one stop shop for startups ,,,,,,,,
478,an entrepreneur with travelling heart currently disrupting glass manufacturing sector in india,Startup Founder(Product-based),"Growth (multiple customer, positive revenue, making profits)",,Connections,With Expertise in Manufacturing sectors.,Firozabad ,,Operations, Sales, Project Management, Product Management,,Glass Manufacturing ,,,,,,,,
479,currently working on mobile communication product to revolutionize the way people make and receive phone calls by offering unique tech solution believe in making simple solutions to help transform lives and make life easier for masses,Startup Founder(Product-based),Early Traction,,We want to promote our world's first of its kind mobile calling app and looking forward to get support from pushstarters in promoting our app by getting critical feedback on app performance and also to experience the power of network effect by leveraging pushstarter community which is very dynamic and supporting in nature.,"I believe in go-giving and here, I would be more than happy to help to our all fellow entrepreneurs without any further expectations in return as interactions with fellow entrepreneurs will help me to learn and grow in my journey. ",West Delhi,,Operations, Sales, Digital Marketing, Branding," Consulting, Content Creation, Data Analysis, Content Marketing, Business Analysis",Mobile Communication Application,,,,,,,,
480,im social entrepreneur im doing something different when i help to someone then i feel happy thats my interest,Startup Founder (Service-based),MVP (proof of concept is out with select customers),,I'm planning to excuit  our business.   I'm need your support for increase more specifications.,Yes,East Delhi,,HR,,,,,Social Entrepreneurship,,,,,,,,
481,product design ui ux block chain ai i help startups succeed with design and technology,"Startup Founder(Product-based), Startup Founder (Service-based), Freelancer",Early Traction,,Trivial help,"Design, tech, product ideation and validation",North Delhi,,Product Development, Product Design, Product Design, Product Management," Front-end Designing, Front-end Development, Back-end Development, Branding, ML, Blockchain, Design",Health Tech, Ed Tech, Blockchain, AI/ML, Web Development, Design, Consumer internet, Saas, Clean Tech
482,marketing customer success analytics,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,"Mentorships, Partnerships and Consulting",I can help Pushstarters with building scalable infrastructure for their apps and achieve customer success specifically for SaaS products. Digital marketing is something I have done for a long time but its not really something that difficult either,West Delhi,,Digital Marketing, Product Management, Content Creation, Content Marketing, Customer Success,AI/ML, Cloud Computing,,,,,,,
483,i am a fresher graduated this year in electronics and communication engineering right now working as an associate in research and development of a core electronics company my interest is all in making connections learning from people and sharing and developing ideas to another level,Working Professional,Don't have a startup,,"Networking, ideas building and good professional opportunities.","Being a fresher, I can help them out with power quality related problems, electronics and electrical related queries, IoT related problems, travel photography etc.",Noida,,Product Development, Product Design, Product Design, Research and Development," Front-end Designing, Front-end Development, Data Science",Travel, Web Development, IOT,,,,,,
484,i am currently working as product manager cum core team member in a healthcare startup nirogstreet previous i had started two startup panimango and foodonping but they failed but give me lot of experience of starting up i am looking forward to connect with like minded people and build my network,"Under-Graduate Student, Working Professional",Don't have a startup,,"yes, i am looking forward to connect with like minded people.",Pushstart is a great platform and i had learned a lot frok fellow pushstarters.,Gurgaon,,Product Development, Product Management, Data Science,,,Health Tech,,,,,,,,
485,travel  adventures fitness,Startup Founder(Product-based),"Growth (multiple customer, positive revenue, making profits)",,B2B partnership and Fundraising,"Through Network , Discounts for pushstarters for any travel and adventure needs",Gurgaon,,Operations, Digital Marketing, Community building, Project Management," Partnerships, Business Development, Event Management",Travel, E-commerce, Consumer internet, Entertainment, Hospitality, Event Management,,,
486,film production information technology,"Startup Founder (Service-based), Working Professional",Ideation (brainstorming around few ideas),,"No idea about pushstart, I am new",No idea,Mumbai,,Digital Marketing, Branding, Business Analysis,,,Media and Advertising, Co-working Business, Digital Marketing/Branding, Web Development, Design, Entertainment, Media,,
487,i am 21 years old from mumbai and i started  the startup tales all out of my passion im also pursuing chartered accountancy and gave my final exams this november i interview entrepreneurs either through email or through call based on their suitability links of my pagehttpswwwfacebookcomthestartuptales instagramthestartuptales i am voracious reader,"Post-Graduate Student, Startup Founder (Service-based), I am basically pursuing CA and along with it a Facebook and an Instagram page wherein I feature Entrepreneurs.",Early Traction,,Looking for Entrepreneurs for getting featured in my page and also getting some brainstorming ideas ,By featuring them on my page.,Mumbai,,Digital Marketing, Branding, Tax and Compliance,,,Media and Advertising, Media,,,,,,,
488,im a second year engg student at nit kurukshetra a frustrated engineer my true passion is entrepreneurship new ideas and the startup ecosystem fascinates me im have a knack for marketing strategy and analytics im currently working on an idea with a friend from mumbai in edtech domain we are in the idea validation stage at the moment,Under-Graduate Student,Ideation (brainstorming around few ideas),,"-Mentors, Investors who are into the Ed-Tech domain.

-Legal aspects

- Financial aspects

-Idea Validation and a direction to move further","- Im a college student, so if any fellow pushstarter need anything done from the college level i can be of help. I network well, and have connects with e-cells and students of other top colleges pan-india

- im also looking for internship opportunities, so its a win-win.

- I am eager to be part of the PushMeets. I have already attended 1 at mumbai. I like giving my ideas and inputs to fellow pushstarters. ",Kurukshetra/Mumbai,,Research and Development, Business Development, Data Analysis,,,Ed Tech,,,,,,,,
489,founder of graduate ka thela  interested in fb industry,Startup Founder (Service-based),Early Traction,,New opportunities in F&B Industry,Yes in F&B Industry to scale up.,Ghaziabad,,Sales, Branding, Design, Customer Success,,Food Tech, Hospitality,,,,,,,
490,we are a saas company specialising in shipping and hr domains we have built saas applications and continuously build more products our interests are b2b b2c businesses and a lot to do with technology and networking,Startup Founder(Product-based),Early Traction,,Technological and Networking,"Technology sharing, domain expertise of Shipping and HR, links within Chandigarh community.",Chandigarh,,Operations, Sales, Product Development, Product Design," Product Design, Product Management, Research and Development, Content Creation, AI, ML, HR",Ed Tech, AI/ML, Saas,,,,,,
491,i am a techpreneur i work with various traditional business and smes to digitize them in an efficient and effective manner that can impact their business process directly,"Startup Founder(Product-based), Working Professional, Mentor, Freelancer",MVP (proof of concept is out with select customers),,Corporate Connections,I can help in tech based Product Development,Noida,,Product Development, Project Management, Product Management, Back-end Development, Finance,Fin Tech, Web Development, Retail,,,,,,
492,im a lawyer by qualification worked in the uk canada bermuda us before relocating to india in 2916 i am in the process of starting up a head hunting practice in bangalore,Startup Founder (Service-based),MVP (proof of concept is out with select customers),,"Lead generation, networking","Hiring and staffing,  legal contracts, business development ",Bangalore,,Business Development, Branding, HR, Legal,,HR,,,,,,,,
493,entrepreneurshio venture capital,Under-Graduate Student,Don't have a startup,,Network,Knowledge and Network,Punjab,,Operations, Partnerships, Business Development, Event Management," Consulting, Business Analysis",No startup yet,,,,,,,,
494,it services,"Startup Founder(Product-based), Startup Founder (Service-based)","Growth (multiple customer, positive revenue, making profits)",,Business Development and Funding Help,"Sharing the business requirement , KNowledge exchange, Share Opportunities, B2B Business",Gwalior,,Product Development, Digital Marketing, Product Management, Program Management," Front-end Designing, Front-end Development, Back-end Development",Digital Marketing/Branding, Web Development, E-commerce, Design, Saas,,,,
495,im simple curious and hard working guy im good in operation management business development growth hacking and graphics designing,Working Professional,Don't have a startup,,No,I try to share my experience with pushstarts.,Lucknow,,Operations, Sales, Digital Marketing, Research and Development," Business Development, Front-end Designing, Front-end Development, Data Analysis, Business Analysis",Ed Tech,,,,,,,,
496,a young 21yearold gender sensitive being who believes in building a gender harmonious world she has been working with even cargo indias first and only women ecommerce logistics delivery company working towards building an inclusive future with equal opportunities of livelihood for all she looks after training and development and has been doing on ground work with females of resource poor communities her interests lie in understanding their challenges and developing leadership and growth oriented flexible modules and processes for these females she strongly believes that women by her very own being only is the most powerful existing individual on this planet woman is a human and hence should have an equal access to all human rights ownership of her body soul and thought is required to be built to allow her to lead her own way sensitization and awareness is one of the most important tool that can help them realize and recognize their latent potential and power she looks towards building a future where equality will not be seen as opportunity rather a right to access she is growing every day through her actions leading to learnings of progressing towards sustainable equal development of all,"Startup Founder (Service-based), Working Professional","Growth (multiple customer, positive revenue, making profits)",,To connect with investors and other women leaders,Women Leadership and social entrepreneurship,North Delhi,,Community building, Project Management, Program Management, Business Development, Gender,Social Entrepreneurship, Women Driven,,,,,,,
497,i am a product designer having my own product design firm i am interesting in hardware product development,"Startup Founder(Product-based), Startup Founder (Service-based)",Early Traction,,Network,Product design Services,North Delhi,,Product Development, Product Design, Product Design, Product Management," Research and Development, Business Development",Design, IOT, Clean Tech, Robotics,,,,,
498,currently working in an edtech growing startup named avishkaar as a channel development executive loves to grow network with like minded people and trying to bring innovation in education sector and spreading knowledge about the technology and current trends in the education sector,Working Professional,Don't have a startup,,"More insight knowledge regarding B2B industry, lead generation etc.",Anyone who is looking for some business opportunity in any part of country i have the good revenue generation business for them.,South Delhi,,Sales, Business Development, Event Management,,,Ed Tech, AI/ML, IOT, Robotics, Event Management,,,,
499,reading podcasts community building,Team member @ Coworking space,"Growth (multiple customer, positive revenue, making profits)","Mentor, Startups, Job Opportunities, Job Seekers, General Networking",To help sister communities and foster connections,"Can help with connects with our community, referrals and help learn how to build communities",Western Mumbai,,Community building, Partnerships, Event Management, Content Creation,,Co-working Business,,,,,,,,
500,heading a technology startup with operations across the globe including india usa uk europe uae oman etc serving latest technologies like blockchain machine learning business intelligence tools iot etc,Freelancer,partnership firm,"Financial Expert, Tech Expert, Startups, Job Seekers, BD Guy",to grow business, By giving software services,surat,,Project Management, Business Development,,,,Web Development,,,,,,,,
501,i have a nbfc firmmy interests are books,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)","Mentor, Financial Expert, Startups, BD Guy",Because we want our firm to grow. Also my dad has intrests in Private Equity.We would also like to invest in some good startups which are plenty in the Pushstart group.,"As dicussed above,we can provide some funding to some growing and good startups.Also mentoring other startups as we have raised some funds ourselves.",Central Mumbai,,Sales, Finance, Fundraising,,,Fin Tech,,,,,,,,
502,i am 21 year old i have deep interest in cybersecurity  ethical hacking and entrepreneurship i have always wanted to be financially independent at a young age since last two years i have been doing a number of side hustles to be able to pay my own fees rent etc and not depend on my parents during these hustles i met many amazing people and worked a vast variety of jobs from coding jobs to event management to graphic designing to photography to app development etc i believe life is all about the experiences we had so i wanna connect with this group and get more opportunities get more experiences which will help me embrace my entrepreneurial journey,"Under-Graduate Student, Freelancer",Ideation (brainstorming around few ideas),"Mentor, Digital Marketing Expert, Startups, Job Opportunities","I want to connect with these people, exchange ideas, see their workflows and learn from them. I consider myself a hard worker. With proper connections/guidance, I will be able to have a more productive approach towards my startup .","I bring a vast variety of skills to the table - Content Creator/Digital Marketer/App developer/WebDev/Cybersecurity etc. 
I can help others by working with them, providing them my services. 
I am also am avid reader and travel a lot. Will postbregulary and share these amazing experiences with fellow Pushstarters.",MG Road,,Operations, Research and Development, Business Development, Event Management," Content Creation, Content Marketing",Cybersecurity,,,,,,,,
503,community builder at 91springboard,Team member @ Coworking space,"Growth (multiple customer, positive revenue, making profits)","Startups, General Networking",to help coworkers working at 91springboard,Connect pushstart members with fellow coworkers working at 91springboard,Western Mumbai,,Community building, Customer Success,,,,Co-working Business,,,,,,,,
504,entrepreneurship,Working Professional,Ideation (brainstorming around few ideas),"Mentor, Investor, Product Expert",To build the product ,"Tech, marketing, design ",Whitefield,,Product Development, Product Design, Front-end Development, Back-end Development," Blockchain, Data Science",Ed Tech,,,,,,,,
505,i am shweta a nair have been into content and social media marketing before co founding our venture news shuttle,Startup Founder(Product-based),Early Traction,"Sales Expert, Tech Expert, Growth Expert, General Networking",To bring about a shift in the current status of my startup,"Network, Content, Socialmedia work, counselling and helping the ones in ideation statge",Pune,,Content Creation, HR,,,,Social Entrepreneurship,,,,,,,,
506,i am a community operations manager at 91springboard turbhe as my job role goes we try to make lives of our members easier this also happens to be one of my interests helping the startups and entrepreneurs in the best way possible,Team member @ Coworking space,Don't have a startup,"Nothing in particular, Would want to put out requests as and when needed for our members",,By helping them with connects if possible,Navi Mumbai,,Operations, Community building, Partnerships, Event Management,,Co-working Business,,,,,,,,
507,home maker turned first time entrepreneur with go for chai currently operating from three cities,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)","Mentor, Investor, Digital Marketing Expert, Product Expert, Startups, BD Guy, Clients/Customers, General Networking",Co- Creation,Collaborations and mutual growth,Nagpur,,Sales, Product Management, Business Development, Branding,,Food Tech,,,,,,,,
508,started my career as business analyst at gap inc and then my entrepreneurial journey started with pstakecare in my 3 years of experience at pstakecare going from 6 to 100 no of employees i have seen many stages of a startup and worked almost in all major department such as operations business development and marketing lately devoted majority of my time and effort in heading business development where in we took our presence from 1 locality in mumbai to 20 cities in india presently trying to build something meaningful for women of indian vernacular section,Startup Founder(Product-based),Early Traction,"Job Seekers, Growth Expert, UI/UX Designer and a female co-founder ",Ream building,Guidance in the areas where I have knowledge,Central Mumbai,,Operations, Sales, Project Management, Partnerships," Business Development, Business Analysis, Fundraising, Legal",Consumer internet,,,,,,,,
509,indias 1st internationally certified financial success coach with cfp and mba in finance i love educating people and helping them achieve their financial dreams i conduct financial super success workshops across india and also conduct trainings for corporates,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)","Nothing in particular, General Networking",...,"Can help them with effective money management. Already training employees of Companies like Times of India, Raymond, etc.",Thane,,Consulting,,,,,Fin Tech,,,,,,,,
510,i am a marketing consultant and corporate film maker exploring new tech iot and arvr,"Startup Founder (Service-based), Working Professional, Mentor, Freelancer","Growth (multiple customer, positive revenue, making profits)","Nothing in particular, General Networking",To get domain insights,"Consultation, connections",Pune,,Sales, Product Design, Community building, Project Management," Product Management, Event Management, Branding, AR, VR, Content Marketing, Design",Media and Advertising,,,,,,,,
511,i run an enterprise software development company called bit brothers and working on document processing software called documintai i also run an entrepreneur community of 82k members called startup mumbai,"Startup Founder(Product-based), Startup Founder (Service-based)",Early Traction,General Networking,Basic networking for potential future employee ,"AI/ML, Networking, B2B contacts",Western Mumbai,,Product Development, Product Management, Research and Development, AI," ML, Design, Data Science",AI/ML,,,,,,,,
512,startup,Startup Founder (Service-based),Ideation (brainstorming around few ideas),"Digital Marketing Expert, Startups, Legal Expert, Job Seekers, Taxation and Compliances Expert, Clients/Customers, General Networking",To grow,As best as could,Pune,,Sales, Business Development,,,,Saas,,,,,,,,
513,young entrepreneur looking for new ventures,Startup Founder(Product-based),"Sold one company, on to another","Investor, Startups, Job Seekers, Growth Expert, Clients/Customers, General Networking",Getting connected with different businesses ,Can spread a word across various sources ,Pune,,Operations, Sales, Business Development, Finance,,Hospitality ,,,,,,,,
514,hi heres a brief summary of my profile  i have around five years of experience working in digital marketing and social media marketing i have worked on both the agency and client side and have collaborated with multiple nationalinternational advertising agencies i have also worked very closely with teams at facebook twitter and google to build digital strategies for my brands i have won several national awards for my work and i have also been a speaker at many digital marketing summits my expertise is social media strategy content strategy content marketing planning and executing engagement activities and campaigns on digital platforms digital planning and budgeting cheers,Startup Founder(Product-based),MVP (proof of concept is out with select customers),Mentor,Mentor,With social/digital related expertise,London, UK,Digital Marketing, Branding, Content Creation, Content Marketing, Design,Digital Marketing/Branding,,,,,,,,
515,computer engineering student interested in trading  investing  startups,Under-Graduate Student,Don't have a startup,"Mentor, Investor, Accelerator Connect",Looking for a startup..,As I can see the way Pushstarters are working I really think it will help me to raise my contacts and many other factors as well. :) ,South Bombay,,Business Development,,,,,Media and Advertising,,,,,,,,
516,founder unfound ex product manager  taxiforsure bookmyshow idfy mba from isb hyderabad,"Post-Graduate Student, Startup Founder(Product-based)",Early Traction,"Investor, Legal Expert",-,Through my skills mentioned and some connects.,Western Mumbai,,Operations, Product Management, Customer Success,,,Consumer internet,,,,,,,,
517,working on indias 1st coworking kitchen spaces  10 years experience in hospitality worked with hilton intercontinentalselect group  tinyowl,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)","Investor, Digital Marketing Expert, Tech Expert, Taxation and Compliances Expert, Growth Expert, Nothing in particular",Helps my business,Community bldg,Western Mumbai,,Partnerships,,,,,Food/hospitality/coworking ,,,,,,,,
518,b2c applications,"Post-Graduate Student, Startup Founder(Product-based)",MVP (proof of concept is out with select customers),"Investor, Digital Marketing Expert, Accelerator Connect, Growth Expert, Clients/Customers",To grow and refine the product,Connect with relevant people and showcase product to get feedback,Central Mumbai,,Digital Marketing, Product Management, Content Marketing,,,Consumer internet,,,,,,,,
519,education writing,Startup Founder (Service-based),MVP (proof of concept is out with select customers),"Investor, Sales Expert, Incubator Connect",For scaling the services we provide ,"Workshops,  events, tie ups, barters",Western Mumbai,,Operations,,,,,Ed Tech,,,,,,,,
520,i help entrepreneurs to double their income and enjoy spectacular life,Mentor,Coaching and consulting ,"Digital Marketing Expert, BD Guy, General Networking",Will be helpful for my business ,"I can connect people and give them resources for what they are looking for. Also, help them to grow their Startups ",Central Mumbai,,Business Development,,,,,Business development ,,,,,,,,
521,entrepreneur exploring the area of sanitation  wastewater treatment,Startup Founder(Product-based),Ideation (brainstorming around few ideas),"Mentor, Investor, Product Expert, Incubator Connect, Accelerator Connect, Someone who can build engineering products ",I am looking for a co-founder who has passion in social entrepreneurship and who can develop and build engineering products. I am also looking for funding/grants to develop prototype ,"Connection in the area of oil and gas/sanitation, advice/insight on b-school admissions",Central Mumbai,,Operations, Sales, Project Management, Product Management," Program Management, Research and Development, Partnerships, Business Development, Business Analysis",Social Entrepreneurship,,,,,,,,
522,an entertainer and beatboxer with an amateur work background in the elearning and event industry strong professional with a btech in electrical engineering interested in being a part of community building startups and meeting new people,Under-Graduate Student,"Growth (multiple customer, positive revenue, making profits)","Mentor, Digital Marketing Expert, Job Opportunities, Job Seekers, General Networking","Just graduated out of college, looking to learn from and network with industry experts and startup enthusiasts. ",In any way that I can!,Western Mumbai,,Operations, Event Management,,,,Event Management,,,,,,,,
523,getting into handcrafted products,Working Professional,Ideation (brainstorming around few ideas),"Investor, Financial Expert, Clients/Customers, General Networking",Yo Facilitate the idea as a business,Creative Ideation and Futuristic Approach,Western Mumbai,,Product Design,,,,,Fashion,,,,,,,,
524,social activist founder of ashay social group ngo registered in oct 2015 working for the care of environment on two major projects avoid plastic carry bags and use cloth bags promotion of hygienical healthy sustainable menstruations option like menstrual cup and cloth pads for the better future of our next generations,Mentor,Don't have a startup,General Networking,To help in spreading awareness and Promotion of my product.,In helping with connectivity,Western Mumbai,,Partnerships,,,,,,,,,,,,,
525,hi worked in embedded industry and process automation industry for quite some time experience in process automation systems for large corporate like oil n gas pharma  chemical keen interest in finance and programming like to read about behavioral analysis in general and technical models,"Startup Founder(Product-based), Startup Founder (Service-based), Working Professional",MVP (proof of concept is out with select customers),"Mentor, Sales Expert, Tech Expert, Legal Expert, Incubator Connect, Accelerator Connect, General Networking","Building digital taxi top - requires experts in infrastructure and back-end processing. 
Incubator and Accelerator - for connections ","Behavioral analysis tend to be helpful when considering sales and product pricing. Used to manage, Clear risk projects for corporations in UK & USA, so plenty of experience in Client & Project management. ",Pune,,Operations, Product Development, Research and Development, Partnerships," Business Development, Business Analysis",Media and Advertising,,,,,,,,
526,business innovation coaching adventure sports travel,"Startup Founder(Product-based), Startup Founder (Service-based), Angel Investor, Mentor",Public Company,"Investor, Startups, Growth Expert, General Networking",To grow my portfolio ,By having monthly themes,Western Mumbai,,Sales, Product Development, Product Management, Research and Development," Partnerships, Business Development, Branding, HR",Have multiple business: education, edtech, staffing, lifestyle, f&b,,,,
527,bits pilani graduate interested in pm roles,"Working Professional, Team member @ E-cell","Growth (multiple customer, positive revenue, making profits)","Nothing in particular, General Networking",To get help when in need,Through resources and personal connects,Indiranagar,,Product Management,,,,,Consumer internet,,,,,,,,
528,interested in digital marketing mobile application development web designing and development,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)",General Networking,For business development and networking,We can offer services at good price and quality for all pushstarters. ,Western Mumbai,,Product Development, Product Design, Digital Marketing, Project Management," Product Management, Business Development, Front-end Designing, Front-end Development, Back-end Development, Branding, Consulting, Content Creation, Content Marketing, Design",Digital Marketing/Branding,,,,,,,,
529,student critical thinker investments,Under-Graduate Student,Don't have a startup,"Mentor, Legal Expert, Taxation and Compliances Expert","as am I student , I am seeking for  the knowledge of expertise and  connection with expertise to build a professionalism",with the intellectuality about taxation costing and financial problems ,vadodara,,no domain,,,,,no startup,,,,,,,,
530,have ecom platform to selling  buying antique  vintage collectable items,Working Professional,Early Traction,"Digital Marketing Expert, Job Seekers",Want to promote my platform and grow my team,Will to glad to share my commercial and ginancial acumen.,Western Mumbai,,Operations, Consulting,,,,E-commerce,,,,,,,,
531,a believer in the power of reading and storytelling  i have been hustling in the world of enterperurship and technology since sweet 16 and have worked with various startups like bookmate  noobspehere and chitthiin  founder of bloodnetlife which is an online portal connecting blood donors to the needy people and was featured in a national magazine for same  coming up with my next project zukestores very soon,Startup Founder(Product-based),Ideation (brainstorming around few ideas),"Investor, Startups, Incubator Connect, Accelerator Connect",I believe once my MVP is ready which is going to be very soon. I would be needing the above mentioned connections and networkign is a very important aspect .,Be sharing what I have and offering my services with good discounts to fellow pushstartes starting with Magixai.com . Also I have been among the push contributors a couple of times ,Pune,,Operations, Sales, Digital Marketing, Business Development, Content Marketing,Retail,,,,,,,,
532,i am a seeker of truth my interest lies is not limited to anything as of now im self employed and i might start some small scale business very soon,Freelancer,Ideation (brainstorming around few ideas),"Mentor, Legal Expert, General Networking",As of now I'm planning to start a film marketing company.  Therefore I need some networking and help/guidance,"I'm good at creating marketing strategy (ATL/BTL)  and branding strategy.  

",Western Mumbai,,Product Development, Business Development, Branding, Content Creation, Business Analysis,Entertainment,,,,,,,,
533,niki shah is a passionate entrepreneur who specializes in fueling passions of entrepreneurs by building workability and long term sustainability into it through finance management she is a unique combination of being a chartered accountant with business acumen which allows her to give a whole new perspective to the business from macro and micro levels she has multi sectoral experience with latest clients including a 3d printing company a salon chain and specialized retail stores she is extremely passionate about working with young women entrepreneurs and her badge of honour includes the statement of accomplishment offered from the acumen and goldman sachs 10000 women she has been invited as thought leader in many renowned events accords mumbai including retailers leadership summit entrepreneur india etc,"Startup Founder (Service-based), Working Professional, Mentor","Growth (multiple customer, positive revenue, making profits)",Startups,To help them ,By sharing my experience and knowledge ,Western Mumbai,,Consulting, Data Analysis, Finance, Business Analysis, Fundraising,Retail,,,,,,,,
534,currently a student at shri ram college of commerce du looking to start my own company in the summers related to social networking and finance education and entertainment,"Under-Graduate Student, Startup Founder(Product-based)",MVP (proof of concept is out with select customers),"Mentor, Investor, Digital Marketing Expert, Tech Expert, Legal Expert, Incubator Connect, General Networking","I believe that your network is your net worth. Thus, I would really love to be able to connect with the above people. And most likely, I would love to work with them as well if possible.!",I can provide insights into how me and my teammates are tackling problems on a day to day basis and also help provide information with regards to the financial markets,North Delhi,,Research and Development, Business Development, Branding, Content Creation," AI, ML, Finance",Fin Tech,,,,,,,,
535,contract execution project management problem solving,"Startup Founder(Product-based), Working Professional",Early Traction,"Mentor, Investor, Tech Expert","My startup has strong positive feedback from market,  looking to connect and learn to grow",Meet right mindset people and help take the startup to next level,Central Mumbai,,Operations, Digital Marketing, Project Management, Product Management," Program Management, Business Development, Content Marketing, Business Analysis",Event Management,,,,,,,,
536,im studying in engineering college i have been attaining various entrepreneur workshop to learn more about entrepreneurship soon i want start my entrepreneur journey,Under-Graduate Student,Ideation (brainstorming around few ideas),"Mentor, Investor, Digital Marketing Expert, Sales Expert, Financial Expert, Product Expert, Tech Expert",How product should be how it would be marketed.,-,Pune,,Operations, Sales, Business Development,,,Digital Marketing/Branding,,,,,,,,
537,student at pict pune college i have too many startup ideas but little confused how to start,"Under-Graduate Student, Freelancer, Team member @ E-cell",Ideation (brainstorming around few ideas),"Tech Expert, Startups",I want to start my startup,By sharing ideas and discussing solution on their problems,Pune,,Operations, Sales, Program Management, Research and Development," Content Marketing, Business Analysis, Design",E-commerce,,,,,,,,
538,so i wont start with my name as its alreaady mentioned in the form i would like to describe myself as a hustler a dreamer some what ab achiever and at most a believer and learner so i am into the last year of my teen age and currently i am running my own food startup which is at its primary funding stage also i am the founding member and chief marketing officer of the worlds first intent based calling application with the name of ringlerr which is currently incubated with nexus and us embassy  in addition to this i am also founder of a national social entrepreneurship society which focuses on creating an impact on the underprivileged part of the society under that we are currently running four different projects targeting 4 different communities like transfenders lgbt community underprivileged childre medically ill women who are unable to go out of their houses and work because of their circumstances in last one year we are able to make impact on more than 700  lives and the number is still increasing,"Under-Graduate Student, Startup Founder(Product-based), Startup Founder (Service-based), Team member @ E-cell","Growth (multiple customer, positive revenue, making profits)","Mentor, Investor, Digital Marketing Expert, Sales Expert, Financial Expert, Product Expert, Tech Expert, Startups, Incubator Connect, Accelerator Connect, Job Opportunities, Job Seekers, BD Guy, Growth Expert",Growth,Collaborating ,Gurgaon,,Operations, Product Development, Product Design, Community building," Project Management, Product Management, Program Management, Partnerships, Business Development, Event Management, Content Creation, Business Analysis, Fundraising",Food Tech,,,,,,,,
539,i am a young entrepreneur i have my start up in captial investment training phoenix share market classes i am also a business development consultant help the sales team to build their strategies  imbibe the sales attitude in them currently consulting ms sfurti sahareone of the top trainer  author in india author of think  win like dhoni roma  italy tedx speaker twice i have a huge passion of helping people to grow their business and i have taken my baby steps towards it hope to learn  grow more,"Startup Founder (Service-based), Freelancer","Growth (multiple customer, positive revenue, making profits)","Mentor, Clients/Customers","As mentioned I am a 24 YO Girl, still I am in the learning phase of business, so I am looking for a mentor in the Business Consultant business.",By encouraging them and providing this platform to connect with Pushstarter Community,Pune,,Sales, Digital Marketing, Project Management,,,Ed Tech,,,,,,,,
